cone_x,cone_y,water_x,water_y,theta,radii,time
773,624,919.7171630859375,737.112752943148,0.20137618108554922,185.25771460957634,79
773,624,927.0821533203125,706.9295555049846,1.5853425744605716,174.98177375966506,80
773,624,933.0252685546875,682.004307139312,2.7466962406464384,170.2133550069192,81
773,624,934.6248779296875,657.385335583535,3.7906813439451272,165.03691041040375,82
773,624,934.64111328125,631.4365495378295,4.869346212149473,161.812087842134,83
773,624,933.3238525390625,605.6621007552956,275.93125282794034,161.36919235614954,84
773,624,933.0615234375,576.5945230565933,277.1976135949429,166.93403047121706,85
773,624,930.9488525390625,546.556599057999,278.49497634525073,175.9128203624455,86
773,624,928.228271484375,520.9453268109658,279.60976334034433,186.3225212746046,87
773,624,925.214599609375,496.82516792006663,280.6769385338075,198.3499993667799,88
773,624,917.4222412109375,476.55283238490375,281.4624976001414,206.39392189234766,89
773,624,905.4202880859375,458.7240639763441,282.0433181018492,211.78117887399316,90
773,624,890.7818603515625,442.352524138553,282.5035206847117,216.4910439595826,91
773,624,873.3900146484375,428.3810500458741,282.7849476705315,219.87480215401746,92
773,624,857.2247314453125,420.75945468005426,282.76840072828844,220.00119238082308,93
773,624,835.5614013671875,411.9986038781008,282.6650286055385,221.03963648780447,94
773,624,812.9219360351562,406.860723948897,282.32442554910847,220.7786814454517,95
773,624,790.1254272460938,407.12552453719394,281.6514572663194,217.54957679947006,96
773,624,764.4536743164062,412.4773970108526,190.5619791329313,211.69518477753462,97
773,624,740.0606079101562,419.4533557241401,189.36820959217218,207.18188442951188,98
773,624,713.240234375,426.2103549904398,188.05077606322865,206.6203602275506,99
773,624,692.2246704101562,435.7126480569448,186.72413380406232,204.8823583720078,100
773,624,671.0250854492188,448.3433383393135,185.1632692752956,203.11116656505132,101
773,624,650.8815307617188,472.71254976497363,182.9224170613135,194.42431207983384,102
773,624,630.6200561523438,495.56392558574413,180.75047533128634,191.74950748569347,103
773,624,607.970947265625,515.2732829112322,181.3702455194855,197.62612999121873,104
773,624,589.2820434570312,541.7051491179085,183.6791635449603,201.30755087186827,105
773,624,574.85595703125,569.9685566332266,185.8433860285372,205.37881739921156,106
773,624,563.6070556640625,597.3614611046589,187.75335587921,211.0805933574937,107
773,624,554.3369140625,630.1992704582317,99.75242995258748,218.75094538292814,108
773,624,547.859130859375,661.3019966607706,101.44775859052378,228.21010037304697,109
773,624,542.2229614257812,693.4324219332296,103.06469206251802,240.99564881673794,110
773,624,538.7701416015625,727.5994605896298,104.56891736805687,256.1180876076782,111
773,624,538.41943359375,757.6658205262108,105.68927569835509,269.98998817071396,112
773,624,540.0361938476562,786.57317885365,106.6157301614968,284.08127967109635,113
773,624,542.124755859375,821.140927020342,107.65482964318707,303.59170519537093,114
773,624,548.87255859375,853.8119228250156,108.35307147242335,321.00876913854387,115
773,624,555.7719116210938,885.3378624148638,108.96939064908014,339.8316064057671,116
773,624,567.9785766601562,911.7071334553328,109.16575887510808,353.2834254099393,117
773,624,581.2206420898438,938.7438765954137,109.32438274080202,368.56889447529454,118
773,624,594.0521850585938,961.4799134040621,109.37806326206031,381.98823597529423,119
773,624,613.9262084960938,974.8021289849736,108.88543934158724,385.1838584933412,120
773,624,636.4347534179688,986.9869610221151,108.27301652955221,387.8267660258656,121
773,624,654.2015380859375,1000.3719460847218,107.90497481690194,394.6757103657985,122
