cone_x,cone_y,water_x,water_y,theta,radii,time
719,635,770.9450073242188,669.6217306053142,0.47332409997144187,62.425539773558114,43
719,635,767.9066772460938,668.5174327337795,0.4081194829479505,59.28980836802408,44
719,635,766.9386596679688,663.8111159629493,0.5727247739073059,55.930273500062974,45
719,635,767.4880981445312,648.0868982205437,1.271394193403472,50.22312780690352,46
719,635,764.5128784179688,634.7670181138353,271.7475178050275,45.513474734940715,47
719,635,765.6311645507812,618.4308151842795,272.52081825338115,49.4874064062721,48
719,635,764.0126342773438,592.4630020106583,273.6577815488563,61.931683672665955,49
719,635,756.6193237304688,576.3929541130233,274.14984371533205,69.64193668714277,50
719,635,743.3624267578125,572.7536044254769,273.8361049760456,66.8441590533518,51
719,635,732.5465698242188,585.0547204536953,272.8370922106983,51.74978746778541,52
719,635,724.0842895507812,607.4300968247175,271.4569194000561,28.034791979442936,53
719,635,715.6298217773438,627.7360084138421,180.19342678493362,8.00772595786338,54
719,635,711.4325561523438,651.7159569429278,91.04158824724497,18.349098694629337,55
719,635,708.0390014648438,673.7036775235231,92.1265225934512,40.22583924211605,56
719,635,710.4031372070312,693.2064120010615,92.84804850196393,58.8378487703149,57
719,635,718.6544189453125,713.6877299340387,93.35131504350625,78.6884887924375,58
719,635,726.676025390625,737.1475562637622,3.959850130814694,102.43556324078074,59
719,635,737.6312255859375,765.0734632217354,4.596202375196294,131.40102131007296,60
719,635,748.4906616210938,785.4836313893212,4.931453088408006,153.34608713288694,61
719,635,760.6206665039062,806.8134481658291,5.238025331136199,176.78275043357996,62
719,635,772.850830078125,816.0752092165061,5.108251561620302,188.91305749710511,63
719,635,788.4668579101562,817.8085262243223,4.596488828927195,195.56227041077884,64
719,635,810.1212768554688,812.5195667662081,3.634673111951116,199.54018061692034,65
719,635,837.57470703125,794.3707853653497,2.033501956565143,198.6429167514289,66
719,635,863.49609375,769.3807378067216,0.25123863135647106,197.32537546521394,67
719,635,881.6142578125,734.3212897330635,1.6581450522680075,190.5468851441801,68
719,635,896.863525390625,702.4930158901333,3.379211794461496,190.23864186417882,69
719,635,901.273193359375,673.4929924519863,4.6804099244626,186.29339087936745,70
719,635,902.363037109375,649.8746056552045,5.688880803639386,183.9653697611914,71
719,635,898.19921875,623.9267390669211,276.6645508565322,179.54101789926,72
719,635,886.3095703125,598.2228376137398,277.43226519230797,171.30397541020096,73
719,635,874.8382568359375,577.8481060763961,278.0044538604587,165.98765397678977,74
719,635,852.778564453125,558.2779568819255,278.23894311863603,154.21730190659736,75
719,635,827.02734375,547.9433299092191,277.9237218696162,138.73993947301452,76
719,635,801.4036865234375,537.1120766400061,277.6194588229192,127.9547306369913,77
719,635,776.388427734375,537.615284158559,276.7490906573576,113.03634157801548,78
719,635,752.7994384765625,548.7427577673897,275.3603492021407,92.64293755546696,79
719,635,733.141357421875,565.1411993099491,273.82321829527837,71.27573236091982,80
719,635,714.967041015625,593.2569024948197,181.7652030504896,41.93746472423726,81
719,635,702.2997436523438,626.77076443651,180.29745865681946,18.617703403933604,82
719,635,698.7171020507812,668.8188302748972,92.29753793339326,39.434873277097346,83
719,635,701.3771362304688,705.0465904623426,93.69947727584143,72.22942726367556,84
719,635,708.1845092773438,734.9777626263183,94.61360057050072,100.56106532518591,85
719,635,721.2660522460938,770.0043594470578,5.421886784853064,135.02337598539157,86
719,635,733.8771362304688,797.1617579728738,5.916930132864954,162.84276137204515,87
719,635,746.2590942382812,820.7744853460605,6.272460275300537,187.76372819127005,88
719,635,765.9472045898438,840.8308509078361,6.218319372476835,211.116979905086,89
719,635,788.2625122070312,855.5649917912629,5.894514578226667,231.1843662558284,90
719,635,810.2399291992188,856.1223752113124,5.127200965965084,239.20666692082574,91
719,635,837.04736328125,854.7479180461279,4.149429254272791,249.44804561924946,92
719,635,863.677490234375,837.0077863375901,2.651565205364899,248.4727790353123,93
719,635,893.8428955078125,816.9852378072904,0.9777490726192601,252.36613261159252,94
719,635,915.7781982421875,788.8185910124841,0.7095773576033363,249.76352464783065,95
719,635,930.8673095703125,758.8576605142456,2.2625509719898558,245.41490772286988,96
719,635,941.1060791015625,726.2693654115528,3.7919625478980934,240.12748163527033,97
719,635,943.2047119140625,688.81648838916,5.309589422194738,230.57312780766182,98
719,635,940.745849609375,654.8853637562677,6.606914397030859,222.63568786405887,99
719,635,933.6131591796875,622.5852351037694,277.7524467278328,214.97193882112745,100
719,635,920.8421630859375,597.0266107071645,278.492714148791,205.3831470534898,101
719,635,903.1044921875,570.1409585149258,279.1852899759486,195.19518258906857,102
719,635,886.7509765625,541.6340938976588,280.03311511947373,191.9832871892333,103
719,635,871.0264892578125,522.34200010238,280.4995037411126,189.21912793633717,104
719,635,852.451171875,506.8441822987981,280.71545066787684,185.02196865635844,105
719,635,835.8631591796875,498.827754659343,280.62203565970356,179.44324555294097,106
719,635,814.1961059570312,494.8869771407913,280.157821769505,169.3929094269517,107
719,635,786.967529296875,492.6946075178557,279.4006760025129,157.70355027144666,108
719,635,759.98974609375,495.40888545663154,278.35118532812254,145.48483956856091,109
719,635,739.5628662109375,511.6325600860879,276.77437040865857,125.06940752127048,110
719,635,715.5855102539062,529.071905978608,184.97244721727515,105.98311112262671,111
719,635,696.5178833007812,559.7431812815294,182.66358200735039,78.54320043709731,112
719,635,681.1195068359375,592.8318945385171,180.41439489501576,56.68404432080805,113
719,635,669.2610473632812,635.9485160736355,92.0879608832356,49.74799586053388,114
719,635,669.246337890625,688.5859391882564,94.36599751706174,73.12236164116533,115
719,635,673.1889038085938,740.6519661514837,96.28185178581204,115.15639142458635,116
719,635,681.5523071289062,790.9913012226178,97.80037994509024,160.42323945891772,117
719,635,690.1331787109375,834.132231340769,98.94676822404347,201.21366486918376,118
719,635,707.860595703125,860.9490577055693,99.12341189828402,226.22348022723887,119
719,635,731.7271728515625,881.5137470236956,8.854592728538965,246.84207177962216,120
719,635,760.3963623046875,896.9742257836558,8.26088087791724,265.2247231820722,121
719,635,786.9445190429688,905.0444260387886,7.542727520235067,278.4608584749374,122
719,635,805.8656616210938,911.8501916345243,7.0807114835214895,290.15801174005725,123
719,635,829.0941162109375,912.7635385733479,6.300054683025062,298.78637483167654,124
719,635,849.8623046875,904.8687104695965,5.345479740597471,299.92342969272505,125
